Country,Date,Confirmed,Recovered,Deaths
Afghanistan,2022-04-16,178387,0,7676
Albania,2022-04-16,274462,0,3496
Algeria,2022-04-16,265739,0,6874
Andorra,2022-04-16,40709,0,153
Angola,2022-04-16,99194,0,1900
Antarctica,2022-04-16,11,0,0
Antigua and Barbuda,2022-04-16,7535,0,135
Argentina,2022-04-16,9060495,0,128344
Armenia,2022-04-16,422747,0,8621
Australia,2022-04-16,5384615,0,6779
Austria,2022-04-16,4045809,0,16407
Azerbaijan,2022-04-16,792349,0,9705
Bahamas,2022-04-16,33391,0,789
Bahrain,2022-04-16,562759,0,1473
Bangladesh,2022-04-16,1952275,0,29124
Barbados,2022-04-16,64348,0,383
Belarus,2022-04-16,974046,0,6899
Belgium,2022-04-16,3972963,0,31165
Belize,2022-04-16,57331,0,672
Benin,2022-04-16,26952,0,163
Bhutan,2022-04-16,51800,0,16
Bolivia,2022-04-16,903888,0,21903
Bosnia and Herzegovina,2022-04-16,376437,0,15749
Botswana,2022-04-16,305859,0,2688
Brazil,2022-04-16,30250077,0,662185
Brunei,2022-04-16,139847,0,217
Bulgaria,2022-04-16,1149225,0,36782
Burkina Faso,2022-04-16,20865,0,383
Burundi,2022-04-16,38722,0,38
Cabo Verde,2022-04-16,55988,0,401
Cambodia,2022-04-16,136044,0,3055
Cameroon,2022-04-16,119780,0,1927
Canada,2022-04-16,3633948,0,38363
Central African Republic,2022-04-16,14649,0,113
Chad,2022-04-16,7378,0,192
Chile,2022-04-16,3528626,0,57231
China,2022-04-16,1760211,0,13748
Colombia,2022-04-16,6089540,0,139745
Comoros,2022-04-16,8100,0,160
Congo,2022-04-16,24079,0,385
Costa Rica,2022-04-16,844892,0,8357
Cote d'Ivoire,2022-04-16,81857,0,797
Croatia,2022-04-16,1113135,0,15725
Cuba,2022-04-16,1099444,0,8520
Cyprus,2022-04-16,464366,0,993
Czechia,2022-04-16,3881644,0,39980
Dem. Rep. Congo,2022-04-16,87023,0,1337
Denmark,2022-04-16,3143644,0,6034
Diamond Princess,2022-04-16,712,0,13
Djibouti,2022-04-16,15598,0,189
Dominica,2022-04-16,11988,0,63
Dominican Republic,2022-04-16,578733,0,4375
Ecuador,2022-04-16,865585,0,35513
Egypt,2022-04-16,511977,0,24522
El Salvador,2022-04-16,162089,0,4125
Equatorial Guinea,2022-04-16,15906,0,183
Eritrea,2022-04-16,9733,0,103
Estonia,2022-04-16,567183,0,2511
Eswatini,2022-04-16,70098,0,1395
Ethiopia,2022-04-16,470259,0,7509
Fiji,2022-04-16,64509,0,862
Finland,2022-04-16,949583,0,3517
France,2022-04-16,27874269,0,145159
Gabon,2022-04-16,47594,0,303
Gambia,2022-04-16,11994,0,365
Georgia,2022-04-16,1652929,0,16789
Germany,2022-04-16,23416663,0,132942
Ghana,2022-04-16,161101,0,1445
Greece,2022-04-16,3232496,0,28537
Grenada,2022-04-16,14165,0,219
Guatemala,2022-04-16,837492,0,17427
Guinea,2022-04-16,36502,0,440
Guinea-Bissau,2022-04-16,8176,0,170
Guyana,2022-04-16,63368,0,1228
Haiti,2022-04-16,30594,0,835
Holy See,2022-04-16,29,0,0
Honduras,2022-04-16,421268,0,10888
Hungary,2022-04-16,1879480,0,45865
Iceland,2022-04-16,183974,0,110
India,2022-04-16,43042097,0,521751
Indonesia,2022-04-16,6039266,0,155844
Iran,2022-04-16,7205064,0,140800
Iraq,2022-04-16,2323040,0,25198
Ireland,2022-04-16,1498834,0,6932
Israel,2022-04-16,4029066,0,10612
Italy,2022-04-16,15659835,0,161602
Jamaica,2022-04-16,129203,0,2926
Japan,2022-04-16,7332261,0,28998
Jordan,2022-04-16,1694957,0,14055
Kazakhstan,2022-04-16,1394190,0,19013
Kenya,2022-04-16,323609,0,5649
Kiribati,2022-04-16,3071,0,13
"Korea, South",2022-04-16,16305752,0,21092
Kosovo,2022-04-16,227838,0,3138
Kuwait,2022-04-16,630888,0,2555
Kyrgyzstan,2022-04-16,200980,0,2991
Laos,2022-04-16,199868,0,714
Latvia,2022-04-16,812877,0,5714
Lebanon,2022-04-16,1095518,0,10358
Lesotho,2022-04-16,32968,0,697
Liberia,2022-04-16,7402,0,294
Libya,2022-04-16,501834,0,6429
Liechtenstein,2022-04-16,16975,0,84
Lithuania,2022-04-16,1048704,0,9011
Luxembourg,2022-04-16,229311,0,1054
MS Zaandam,2022-04-16,9,0,2
Madagascar,2022-04-16,64089,0,1390
Malawi,2022-04-16,85727,0,2631
Malaysia,2022-04-16,4382402,0,35409
Maldives,2022-04-16,178320,0,298
Mali,2022-04-16,30651,0,729
Malta,2022-04-16,88558,0,673
Marshall Islands,2022-04-16,7,0,0
Mauritania,2022-04-16,58681,0,982
Mauritius,2022-04-16,218229,0,990
Mexico,2022-04-16,5726668,0,323938
Micronesia,2022-04-16,1,0,0
Moldova,2022-04-16,516316,0,11481
Monaco,2022-04-16,11341,0,56
Mongolia,2022-04-16,920119,0,2177
Montenegro,2022-04-16,234137,0,2709
Morocco,2022-04-16,1164345,0,16062
Mozambique,2022-04-16,225323,0,2200
Myanmar,2022-04-16,612545,0,19434
Namibia,2022-04-16,158074,0,4022
