Month,Country,Confirmed,Recovered,Deaths,Date
2021-04,Afghanistan,821021,735290,36054,2021-04-01
2021-04,Albania,1824159,1468627,33152,2021-04-01
2021-04,Algeria,1689692,1177833,44753,2021-04-01
2021-04,Andorra,181987,173935,1732,2021-04-01
2021-04,Angola,355085,323171,8073,2021-04-01
2021-04,Antarctica,0,0,0,2021-04-01
2021-04,Antigua and Barbuda,17132,14009,439,2021-04-01
2021-04,Argentina,39573629,34795415,857663,2021-04-01
2021-04,Armenia,2968990,2696773,55831,2021-04-01
2021-04,Australia,415261,324984,12740,2021-04-01
2021-04,Austria,8474049,7967493,140644,2021-04-01
2021-04,Azerbaijan,4335354,3858297,60447,2021-04-01
2021-04,Bahamas,140179,129046,2743,2021-04-01
2021-04,Bahrain,2378292,2220995,8637,2021-04-01
2021-04,Bangladesh,10351750,9068537,152617,2021-04-01
2021-04,Barbados,53375,52034,616,2021-04-01
2021-04,Belarus,4909311,4774674,34687,2021-04-01
2021-04,Belgium,13557871,0,335549,2021-04-01
2021-04,Belize,176388,170437,4486,2021-04-01
2021-04,Benin,108056,103004,1358,2021-04-01
2021-04,Bhutan,14140,12861,14,2021-04-01
2021-04,Bolivia,4143081,3416620,179079,2021-04-01
2021-04,Bosnia and Herzegovina,2719111,2140600,114689,2021-04-01
2021-04,Botswana,638599,584275,9677,2021-04-01
2021-04,Brazil,199794309,176369383,5427077,2021-04-01
2021-04,Brunei,3119,2947,42,2021-04-01
2021-04,Bulgaria,5539765,4521470,221419,2021-04-01
2021-04,Burkina Faso,185093,180427,2179,2021-04-01
2021-04,Burma,1997842,1846944,44895,2021-04-01
2021-04,Burundi,52608,10822,84,2021-04-01
2021-04,Cabo Verde,306730,266933,2832,2021-04-01
2021-04,Cambodia,130161,47564,928,2021-04-01
2021-04,Cameroon,929342,493654,13794,2021-04-01
2021-04,Canada,16499258,14968200,347260,2021-04-01
2021-04,Central African Republic,86017,71568,1164,2021-04-01
2021-04,Chad,66530,61334,2369,2021-04-01
2021-04,Chile,16216460,15256102,359618,2021-04-01
2021-04,China,1554867,1358214,67830,2021-04-01
2021-04,Colombia,38452942,35872774,990198,2021-04-01
2021-04,Comoros,53562,50952,2044,2021-04-01
2021-04,Congo (Brazzaville),144740,114912,1976,2021-04-01
2021-04,Congo (Kinshasa),411697,365230,10555,2021-04-01
2021-04,Costa Rica,3332561,2800925,44011,2021-04-01
2021-04,Cote d'Ivoire,640837,634448,3919,2021-04-01
2021-04,Croatia,4463052,4158051,95196,2021-04-01
2021-04,Cuba,1394911,1311876,8044,2021-04-01
2021-04,Cyprus,854697,546854,4168,2021-04-01
2021-04,Czechia,22614878,21342989,403935,2021-04-01
2021-04,Denmark,3461410,3293198,34599,2021-04-01
2021-04,Diamond Princess,9968,9786,182,2021-04-01
2021-04,Djibouti,150483,140646,1839,2021-04-01
